canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,P23975,27.0,,7.569,,Transporter
Fc1cccc(OC(F)F)c1CC(c1ccccc1)N1CCNCC1,P23975,58.0,,7.237,,Transporter
CNCCCN1Cc2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,130.0,,6.886,Transporter
CNCCCN1Cc2ccccc2N(c2cccc(F)c2)S1(=O)=O,P23975,,630.0,,6.201,Transporter
CNCCCN1Cc2ccccc2N(c2ccc(F)c(F)c2)S1(=O)=O,P23975,,970.0,,6.013,Transporter
CNCCCN1Cc2ccccc2N(c2ccc(F)c(Cl)c2)S1(=O)=O,P23975,,1500.0,,5.824,Transporter
CNCCN1Cc2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,200.0,,6.699,Transporter
CNCCCN1Cc2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,29.0,,7.538,Transporter
CN(C)C[C@@H]1C2CCC(C2)[C@H]1c1ccc2ccccc2c1,P23975,149.0,34.0,6.827,7.469,Transporter
OC1(C(CN2CCNCC2)c2cc(Cl)sc2Cl)CCCCC1,P23975,,225.0,,6.648,Transporter
OC1(C(CN2CCNCC2)c2ccsc2Cl)CCCCC1,P23975,,720.0,,6.143,Transporter
OC1(C(CN2CCNCC2)c2csc(Cl)c2)CCCCC1,P23975,,100.0,,7.0,Transporter
CN(C)CC1C2CCC(C2)C1c1ccc2ccccc2c1,P23975,137.33333333333334,34.666666666666664,6.862,7.46,Transporter
CN1CCN(C[C@H](c2csc(Cl)c2)C2(O)CCCCC2)CC1,P23975,,57.0,,7.244,Transporter
CN1CCN(CC(c2cccc(Cl)c2)C2(O)CCCCC2)CC1,P23975,,48.0,,7.319,Transporter
OC1(C(CN2CCNCC2)c2csc3ccccc23)CCCCC1,P23975,,255.0,,6.593,Transporter
OC1(C(CN2CCNCC2)c2cc3ccccc3s2)CCCCC1,P23975,,550.0,,6.26,Transporter
CN1CCN(C[C@@H](c2csc(Cl)c2)C2(O)CCCCC2)CC1,P23975,,18000.0,,4.745,Transporter
CN1CCN(C[C@H](c2cccc(Cl)c2)C2(O)CCCCC2)CC1,P23975,14.0,29.5,7.854,7.53,Transporter
CN1CCN(C[C@@H](c2cccc(Cl)c2)C2(N)CCCCC2)CC1,P23975,,576.0,,6.24,Transporter
CNCCCC1Cc2cc(F)ccc2N(c2c(F)cccc2F)S1(=O)=O,P23975,,26.0,,7.585,Transporter
CN(C)CCCN1c2ccccc2CCc2ccccc21,P23975,16.0,74.0,7.796,7.131,Transporter
CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,P23975,99.0,28.0,7.004,7.553,Transporter
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,P23975,,1019.0,,5.992,Transporter
CN(C)C[C@H]1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,P23975,51.0,44.0,7.292,7.357,Transporter
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,P23975,,2810.0,,5.551,Transporter
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,P23975,,3020.0,,5.52,Transporter
N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,P23975,,1140.0,,5.943,Transporter
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CNC(=O)CN,P23975,,700.0,,6.155,Transporter
COC[C@@]12CNCC[C@]1(c1ccc(OC(F)(F)F)cc1)C2,P23975,3162.28,,5.5,,Transporter
COC[C@@]12CN(C)CC[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,794.33,,6.1,,Transporter
Cc1ccc([C@]2(O)OCC(C)(C)N[C@H]2C)cc1,P23975,,1680.0,,5.775,Transporter
C[C@@H]1N(C)C(C)(C)CO[C@@]1(O)c1cccc(Cl)c1,P23975,,292.5,,6.534,Transporter
COC[C@H]1[C@@H]2CNCC[C@@]21c1ccc(Cl)c(Cl)c1,P23975,1995.26,,5.7,,Transporter
COC[C@@]12CN(C(C)C)CC[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,5011.87,,5.3,,Transporter
COC[C@@H]1[C@@H]2CCNC[C@]12c1ccc(Cl)c(Cl)c1,P23975,63.1,,7.2,,Transporter
COC[C@@]12CNC[C@H](OC)[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,1258.93,,5.9,,Transporter
COC[C@@]12CNC[C@@H](OC)[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,1584.89,,5.8,,Transporter
C[C@@H]1NC(C)(C)CO[C@@]1(O)c1ccccc1,P23975,,550.0,,6.26,Transporter
Cc1cccc([C@]2(O)OCC(C)(C)N[C@H]2C)c1,P23975,,1130.0,,5.947,Transporter
COc1cccc([C@]2(O)OCC(C)(C)N[C@H]2C)c1,P23975,,3000.0,,5.523,Transporter
C[C@@H]1NC(C)(C)CO[C@@]1(O)c1cccc([N+](=O)[O-])c1,P23975,,1210.0,,5.917,Transporter
COC[C@@H]1[C@@H]2CNCC[C@]12c1ccc(Cl)c(Cl)c1,P23975,316.23,,6.5,,Transporter
C[C@@H]1NC(C)(C)CO[C@@]1(O)c1ccc(F)cc1,P23975,,3800.0,,5.42,Transporter
C[C@@H]1NC(C)(C)CO[C@@]1(O)c1ccc(Cl)cc1,P23975,,830.0,,6.081,Transporter
COC[C@@]12CNCC[C@]1(c1ccc(Cl)cc1)C2,P23975,199.53,,6.7,,Transporter
COC[C@@]12CNCC[C@]1(c1ccc(F)c(Cl)c1)C2,P23975,316.23,,6.5,,Transporter
COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(C(F)(F)F)c1)C2,P23975,199.53,,6.7,,Transporter
COC[C@@]12CNCC[C@]1(c1ccc(C(F)(F)F)c(Cl)c1)C2,P23975,125.89,,6.9,,Transporter
COC[C@@]12CN[C@@H](C)C[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,50.12,,7.3,,Transporter
C[C@@H]1NC(C)(C)CO[C@@]1(O)c1ccc(F)c(F)c1,P23975,,740.0,,6.131,Transporter
CC1NC(C)(C)COC1(O)c1ccc(Cl)c(Cl)c1,P23975,,114.0,,6.943,Transporter
C[C@@H]1NC(C)(C)CO[C@@]1(O)c1cc(F)cc(F)c1,P23975,,151.0,,6.821,Transporter
CC1NC(C)(C)COC1(O)c1cc(Cl)cc(Cl)c1,P23975,,2440.0,,5.613,Transporter
COC[C@@]12CNC[C@H](F)[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,100.0,,7.0,,Transporter
COC[C@@]12CNC[C@@H](F)[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,50.12,,7.3,,Transporter
COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,12.305,,7.91,,Transporter
FC(F)(F)COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,79.43,,7.1,,Transporter
C[C@@H]1N(C)C(C)(C)CO[C@@]1(O)c1ccc(Cl)cc1,P23975,,527.0,,6.278,Transporter
CC1NC(C)(C)COC1(O)c1ccccn1,P23975,,7950.0,,5.1,Transporter
Clc1ccc([C@@H]2CCNC[C@@]23CCCOC3)cc1Cl,P23975,3.981,,8.4,,Transporter
C[C@@H]1NC(C)(C)CO[C@@]1(O)c1ccc(-c2ccccc2)cc1,P23975,,10300.0,,4.987,Transporter
CCOC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,7.943,,8.1,,Transporter
NC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,P23975,794.33,,6.1,,Transporter
