canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
Cc1ccc(OCCSc2nc3ccccc3n2CC(=O)O)cc1,P10275,,163800.0,,3.786,NHR
c1ccc(-c2csc(N3CCSCC3)n2)cc1,P10275,,620.0,,6.208,NHR
C[C@]12CC[C@H]3[C@@H](C[C@H](F)C4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,P10275,,8.0,,8.097,NHR
CN1CCc2cc3c(C(F)(F)F)cc(=O)n(C)c3cc21,P10275,167.0,197.0,6.777,6.706,NHR
c1ccc(-c2csc(N3CCOCC3)n2)cc1,P10275,,305.0,,6.516,NHR
CC1(C)CCC[C@@H]2c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@@H]21,P10275,79.0,,7.102,,NHR
Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NCC3,P10275,61.0,56.0,7.215,7.252,NHR
CN1c2cc3c(cc2[C@H]2CCCC(C)(C)[C@H]21)c(C(F)(F)F)cc(=O)n3C,P10275,59.0,27.0,7.229,7.569,NHR
Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NCC3,P10275,41.0,,7.387,,NHR
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,P10275,0.6872222222222222,,9.163,,NHR
COc1cccc2oc(-c3ccccc3)cc(=O)c12,P10275,,8700.0,,5.06,NHR
COc1ccc(C(c2ccccc2)c2c[nH]c3ccccc23)cc1,P10275,68.9,,7.162,,NHR
Cc1cc(-c2cn(C(C)C)c3cc(NS(C)(=O)=O)ccc23)ccc1C#N,P10275,403.0,,6.395,,NHR
CCn1cc(-c2ccc(C#N)cc2)c2ccc(NS(C)(=O)=O)cc21,P10275,2590.0,,5.587,,NHR
COc1cc(-c2cn(C(C)C)c3cc(NS(C)(=O)=O)ccc23)ccc1C#N,P10275,490.0,,6.31,,NHR
CC(C)n1cc(-c2ccc(C#N)c(F)c2)c2ccc(NS(C)(=O)=O)cc21,P10275,648.0,,6.188,,NHR
CC[C@H](C)n1cc(-c2ccc(C#N)cc2)c2ccc(NS(C)(=O)=O)cc21,P10275,1740.0,,5.759,,NHR
CC[C@@H](C)n1cc(-c2ccc(C#N)cc2)c2ccc(NS(C)(=O)=O)cc21,P10275,2550.0,,5.593,,NHR
O=c1cc(-c2ccccc2)oc2cccc(O)c12,P10275,,657.2533333333333,,6.182,NHR
Cc1ccc(-c2cc(=O)c3c(O)cccc3o2)cc1,P10275,,11180.126666666669,,4.952,NHR
C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,P10275,,3.8,,8.42,NHR
Cc1ccc(OCCn2c(SCCOc3ccccc3)nc3ccccc32)cc1,P10275,,13100.0,,4.883,NHR
Cc1ccc(OCCn2c(SCCC(=O)O)nc3ccccc32)cc1,P10275,,50000.0,,4.301,NHR
CC[Si](CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,P10275,,6200.0,,5.208,NHR
COc1ccccc1C(=O)/C=C/c1ccccc1[N+](=O)[O-],P10275,,675.0,,6.171,NHR
Cc1cc(N2C(=O)[C@@H]3C4C=CC(CC4)[C@@H]3C2=O)ccc1Br,P10275,,68.0,,7.167,NHR
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,P10275,0.75,,9.125,,NHR
Oc1ccc(C2Nc3cccc4cccc(c34)N2)cc1O,P10275,,24610.0,,4.609,NHR
CC1=NN(c2ccccc2)C(=O)/C1=N\Nc1ccc(C(=O)O)c(O)c1,P10275,,29700.0,,4.527,NHR
Cc1cc(N2C(=O)[C@@H]3C4C=CC(C4)[C@@H]3C2=O)ccc1Br,P10275,,220.0,,6.658,NHR
CC1(C)COC(=O)[C@@H]1Oc1ccc(C#N)c(C(F)(F)F)c1,P10275,,56.0,,7.252,NHR
CN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,1210.0,,5.917,NHR
CCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,399.0,,6.399,NHR
CCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,135.5,,6.868,NHR
CCCCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,268.0,,6.572,NHR
CCCCCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,766.0,,6.116,NHR
CCC(CC)CN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,444.0,,6.353,NHR
CC(C)CCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,802.0,,6.096,NHR
COCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,516.0,,6.287,NHR
COCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,1770.0,,5.752,NHR
CSCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,2450.0,,5.611,NHR
CC1(C)CN(CCCO)C(=O)C1Oc1ccc(C#N)c(C(F)(F)F)c1,P10275,,523.0,,6.281,NHR
COC(=O)CN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,398.5,,6.4,NHR
CCOC(=O)CN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,3520.0,,5.453,NHR
CCNC(=O)CN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,4910.0,,5.309,NHR
CC1(C)CN(Cc2ccccc2)C(=O)C1Oc1ccc(C#N)c(C(F)(F)F)c1,P10275,,34.0,,7.469,NHR
